0,Organisation,Location,Datetime,Details,Price,Status,Mission_Status
1,Galactic Energy,"Site 95A, Jiuquan Satellite Launch Center, China","Sat Jul 22, 2023 05:07 UTC",Ceres-1 | Lemon Tree,$4.9 million,Active,Success
2,SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Thu Jul 20, 2023 04:09 UTC",Falcon 9 Block 5 | Starlink Group 6-15,$67.0 million,Active,Success
3,CASIC,"Site 95A, Jiuquan Satellite Launch Center, China","Thu Jul 20, 2023 03:20 UTC",Kuaizhou 1A | Tianmu-1 07-10,$5.8 million,Active,Success
4,Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand","Tue Jul 18, 2023 01:27 UTC",Electron/Curie | Baby Come Back,$7.5 million,Active,Success
5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Jul 16, 2023 03:50 UTC",Falcon 9 Block 5 | Starlink Group 5-15,$67.0 million,Active,Success
6,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Fri Jul 14, 2023 09:05 UTC",LVM-3 | Chandrayaan-3,$62.0 million,Active,Success
7,Landspace,"Site 96, Jiuquan Satellite Launch Center, China","Wed Jul 12, 2023 01:00 UTC",ZhuQue-2 | Flight 2,,Active,Success
8,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Mon Jul 10, 2023 03:58 UTC",Falcon 9 Block 5 | Starlink Group 6-5,$67.0 million,Active,Success
9,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sun Jul 09, 2023 11:00 UTC",Long March 2C/YZ-1S | 2 x SatNet test satellites,$30.8 million,Active,Success
10,SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Fri Jul 07, 2023 19:29 UTC",Falcon 9 Block 5 | Starlink Group 5-13,$67.0 million,Active,Success
11,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Jul 05, 2023 22:00 UTC",Ariane 5 ECA | Syracuse 4B & Heinrich Hertz,$200.0 million,Retired,Success
12,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sat Jul 01, 2023 15:12 UTC",Falcon 9 Block 5 | Euclid Telescope,$67.0 million,Active,Success
13,Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA","Thu Jun 29, 2023 15:28 UTC",SpaceShipTwo | Galactic 01,,Active,Success
14,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia","Tue Jun 27, 2023 11:34 UTC",Soyuz 2.1b/Fregat-M | Meteor-M n°2-3 and others,$25.0 million,Active,Success
15,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Fri Jun 23, 2023 15:35 UTC",Falcon 9 Block 5 | Starlink Group 5-12,$67.0 million,Active,Success
16,ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA","Thu Jun 22, 2023 09:18 UTC",Delta IV Heavy | NROL-68 (USA-345),$350.0 million,Active,Success
17,SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Thu Jun 22, 2023 07:19 UTC",Falcon 9 Block 5 | Starlink Group 5-7,$67.0 million,Active,Success
18,CASC,"LC-16, Taiyuan Satellite Launch Center, China","Tue Jun 20, 2023 03:18 UTC",Long March 6 | Shiyan 25,$19.0 million,Active,Success
19,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Jun 18, 2023 22:21 UTC",Falcon 9 Block 5 | Satria,$67.0 million,Active,Success
20,Rocket Lab,"Rocket Lab LC-2 (LP-0C), Wallops Flight Facility, Virginia, USA","Sun Jun 18, 2023 01:24 UTC",Electron | Scout's Arrow,$7.5 million,Active,Success
21,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Thu Jun 15, 2023 05:30 UTC",Long March 2D | 41 x Jilin-1,$29.75 million,Active,Success
22,SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Mon Jun 12, 2023 21:35 UTC",Falcon 9 Block 5 | Transporter 8,$67.0 million,Active,Success
23,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Mon Jun 12, 2023 07:10 UTC",Falcon 9 Block 5 | Starlink Group 5-11,$67.0 million,Active,Success
24,ExPace,"Site 95A, Jiuquan Satellite Launch Center, China","Fri Jun 09, 2023 02:35 UTC",Kuaizhou 1A | Longjiang 3,$5.8 million,Active,Success
25,CAS Space,"Site 130, Jiuquan Satellite Launch Center, China","Wed Jun 07, 2023 04:10 UTC",Kinetica 1 | Second Flight,,Active,Success
26,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Mon Jun 05, 2023 15:47 UTC",Falcon 9 Block 5 | CRS SpX-28,$67.0 million,Active,Success
27,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Jun 04, 2023 12:20 UTC",Falcon 9 Block 5 | Starlink Group 6-4,$67.0 million,Active,Success
